Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
0,fr,diff,23.32923909998499,985.2772248999681,12345,4000.0,0.5,4000.0,0.5,0.9
1,fr,same,1015.2151031999965,800.4997528999811,12345,4000.0,0.5,8000.0,0.5,0.9
2,fr,same,1821.9763195999549,22.76609540003119,12345,4000.0,0.5,4000.0,0.5,0.9
3,fr,diff,1847.0087766999495,0.6483275000355206,12345,4000.0,0.5,8000.0,0.5,0.9
4,fr,diff,1849.9250573999598,0.5398511000094004,12345,4000.0,0.5,8000.0,0.5,0.9
5,fr,same,1852.7434227999765,1.0687672999920323,12345,4000.0,0.5,4000.0,0.5,0.9
6,fr,diff,1856.0948603999568,2.663528100005351,12345,4000.0,0.5,4000.0,0.5,0.9
7,fr,same,1865.0262544999714,0.9235847999807447,12345,4000.0,0.5,4000.0,0.5,0.9
8,fr,diff,1868.234896299953,0.620860300026834,12345,4000.0,0.5,8000.0,0.5,0.9
9,fr,diff,1871.1120090999757,0.8220675999764353,12345,4000.0,0.5,8000.0,0.5,0.9
10,fr,diff,1874.2581699999864,0.6585293000098318,12345,4000.0,0.5,8000.0,0.5,0.9
11,fr,diff,1877.1754857999622,1.1760966000147164,12345,4000.0,0.5,4000.0,0.5,0.9
12,fr,diff,1884.6133539999719,26.656388300005347,12345,4000.0,0.5,4000.0,0.5,0.9
13,fr,diff,1917.5558763999725,0.5700632000225596,12345,4000.0,0.5,4000.0,0.5,0.9
14,fr,diff,1924.382475499995,0.5982278999872506,12345,4000.0,0.5,4000.0,0.5,0.9
15,fr,diff,1931.2918813999859,0.8714686000021175,12345,4000.0,0.5,8000.0,0.5,0.9
16,fr,diff,1934.4813895999687,1.083496399980504,12345,4000.0,0.5,8000.0,0.5,0.9
17,fr,diff,1937.825237699959,1.134636800037697,12345,4000.0,0.5,8000.0,0.5,0.9
18,fr,diff,1941.2365407999605,23.83027239999501,12345,4000.0,0.5,4000.0,0.5,0.9
19,fr,diff,1971.3825457999483,12.354328400047962,12345,4000.0,0.5,4000.0,0.5,0.9
20,fr,diff,1990.0574638999533,8.938459300028626,12345,4000.0,0.5,4000.0,0.5,0.9
21,fr,diff,2005.2429681999492,3.3605698000174016,12345,4000.0,0.5,8000.0,0.5,0.9
22,fr,diff,2010.8948278999887,1.0956710999598727,12345,4000.0,0.5,8000.0,0.5,0.9
23,fr,diff,2014.2554393999744,0.6081567999790423,12345,4000.0,0.5,8000.0,0.5,0.9
24,fr,diff,2017.1338207999943,0.5183825999847613,12345,4000.0,0.5,8000.0,0.5,0.9
25,fr,diff,2019.9295617999742,0.5179877000045963,12345,4000.0,0.5,4000.0,0.5,0.9
26,fr,diff,2026.7102575000026,1.386875499971211,12345,4000.0,0.5,8000.0,0.5,0.9
27,fr,same,2030.364846499986,3.1614770999876782,12345,4000.0,0.5,4000.0,0.5,0.9
28,fr,same,2035.8132211999618,1.2454496000427753,12345,4000.0,0.5,4000.0,0.5,0.9
29,fr,same,2039.3184888999676,0.6305104999919422,12345,4000.0,0.5,8000.0,0.5,0.9
30,fr,same,2046.2424508999684,0.8410622000228614,12345,4000.0,0.5,4000.0,0.5,0.9
31,fr,same,2049.3571797999903,0.643958400003612,12345,4000.0,0.5,8000.0,0.5,0.9
32,fr,same,2056.286753399996,505.42067179997684,12345,4000.0,0.5,8000.0,0.5,0.9
