Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
0,fr,diff,15.899218300008215,1.7010342999710701,12345,4000.0,0.5,8000.0,0.5,0.9
1,fr,diff,20.109385600022506,0.0001805999781936407,12345,4000.0,0.5,8000.0,0.5,0.9
2,fr,diff,22.386095500027295,0.00018429994815960526,12345,4000.0,0.5,4000.0,0.5,0.9
3,fr,diff,28.659484600008,0.0001734999823383987,12345,4000.0,0.5,8000.0,0.5,0.9
4,fr,diff,30.972817600006238,0.00017860002117231488,12345,4000.0,0.5,4000.0,0.5,0.9
