Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
296,fr,diff,4521.759154400032,0.5771373999887146,12345,4000.0,0.5,8000.0,0.5,0.9
297,fr,diff,4524.629540200054,0.5901680999668315,12345,4000.0,0.5,4000.0,0.5,0.9
298,fr,diff,4531.477623200044,0.5367206999799237,12345,4000.0,0.5,8000.0,0.5,0.9
299,fr,diff,4534.261302400031,0.5670395999914035,12345,4000.0,0.5,8000.0,0.5,0.9
300,fr,diff,4537.076558800007,0.5484568999963813,12345,4000.0,0.5,8000.0,0.5,0.9
301,fr,diff,4539.902144300053,0.6081776999635622,12345,4000.0,0.5,8000.0,0.5,0.9
302,fr,diff,4542.796481700032,0.5568608000176027,12345,4000.0,0.5,4000.0,0.5,0.9
303,fr,diff,4549.636561100022,0.5878685999778099,12345,4000.0,0.5,4000.0,0.5,0.9
304,fr,same,4556.479486100026,2.2883750000037253,12345,4000.0,0.5,4000.0,0.5,0.9
305,fr,diff,4561.049192200007,0.6079553000163287,12345,4000.0,0.5,8000.0,0.5,0.9
306,fr,diff,4563.928572500008,0.538742300006561,12345,4000.0,0.5,8000.0,0.5,0.9
307,fr,diff,4566.7750600000145,0.00017120002303272486,12345,4000.0,0.5,8000.0,0.5,0.9
308,fr,diff,4569.049684700032,0.5779384999768808,12345,4000.0,0.5,4000.0,0.5,0.9
309,fr,diff,4575.9082580000395,0.5890378999756649,12345,4000.0,0.5,4000.0,0.5,0.9
310,fr,same,4582.752313700039,0.7825568999978714,12345,4000.0,0.5,4000.0,0.5,0.9
311,fr,diff,4585.819065000047,2.040171900007408,12345,4000.0,0.5,8000.0,0.5,0.9
312,fr,diff,4590.130795100005,0.5199597000028007,12345,4000.0,0.5,8000.0,0.5,0.9
313,fr,diff,4592.934948600014,0.5265652000089176,12345,4000.0,0.5,4000.0,0.5,0.9
314,fr,diff,4599.753341300006,0.6175759000470862,12345,4000.0,0.5,4000.0,0.5,0.9
315,fr,diff,4606.673896400025,0.6176372999907471,12345,4000.0,0.5,8000.0,0.5,0.9
316,fr,diff,4609.552940800029,0.6340395999723114,12345,4000.0,0.5,8000.0,0.5,0.9
317,fr,diff,4612.446665200056,0.5670765999821015,12345,4000.0,0.5,4000.0,0.5,0.9
318,fr,diff,4619.295139300055,0.6279282999457791,12345,4000.0,0.5,4000.0,0.5,0.9
319,fr,same,4626.180836600019,1.2459555999957956,12345,4000.0,0.5,4000.0,0.5,0.9
320,fr,same,4629.694855700014,0.7198731999960728,12345,4000.0,0.5,8000.0,0.5,0.9
321,fr,same,4636.703800200019,0.708899500023108,12345,4000.0,0.5,8000.0,0.5,0.9
322,fr,diff,4643.71694720001,0.670990000013262,12345,4000.0,0.5,8000.0,0.5,0.9
323,fr,same,4646.6727626000065,0.8118772000307217,12345,4000.0,0.5,4000.0,0.5,0.9
324,fr,same,4649.800159000035,0.8306470999959856,12345,4000.0,0.5,4000.0,0.5,0.9
325,fr,diff,4652.909323100001,0.6074276000144891,12345,4000.0,0.5,4000.0,0.5,0.9
326,fr,diff,4659.78053040005,0.5982072000042535,12345,4000.0,0.5,8000.0,0.5,0.9
327,fr,diff,4662.640140400035,0.526415599975735,12345,4000.0,0.5,8000.0,0.5,0.9
328,fr,diff,4665.42059970001,0.5180433000205085,12345,4000.0,0.5,8000.0,0.5,0.9
329,fr,same,4668.206827300019,0.7593261000001803,12345,4000.0,0.5,4000.0,0.5,0.9
330,fr,diff,4671.252112200018,0.5187389000202529,12345,4000.0,0.5,8000.0,0.5,0.9
331,fr,diff,4674.0578245000215,0.5490546000073664,12345,4000.0,0.5,8000.0,0.5,0.9
332,fr,diff,4676.867199000029,0.5610186000121757,12345,4000.0,0.5,4000.0,0.5,0.9
333,fr,diff,4683.70885190001,0.5877158000366762,12345,4000.0,0.5,4000.0,0.5,0.9
334,fr,diff,4690.5559395000455,0.6710920999757946,12345,4000.0,0.5,4000.0,0.5,0.9
335,fr,diff,4697.515299200022,0.5570395999820903,12345,4000.0,0.5,8000.0,0.5,0.9
