Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
0,fr,same,11.165133300004527,1.2901304000406526,12345,4000.0,0.5,8000.0,0.5,0.9
1,fr,diff,18.810460200009402,4.852813900040928,12345,4000.0,0.5,4000.0,0.5,0.9
2,fr,diff,29.92210880003404,0.8304281000164337,12345,4000.0,0.5,8000.0,0.5,0.9
3,fr,diff,33.00923770002555,1.0061727999709547,12345,4000.0,0.5,4000.0,0.5,0.9
4,fr,diff,40.27281590003986,0.8106235999730416,12345,4000.0,0.5,8000.0,0.5,0.9
5,fr,diff,43.339333300013095,0.6112521000322886,12345,4000.0,0.5,4000.0,0.5,0.9
6,fr,diff,50.216518400004134,0.7697712000226602,12345,4000.0,0.5,4000.0,0.5,0.9
7,fr,diff,57.299262700020336,3.0085473000071943,12345,4000.0,0.5,4000.0,0.5,0.9
8,fr,same,66.5745070000412,1.2959518000134267,12345,4000.0,0.5,4000.0,0.5,0.9
9,fr,same,70.12341870000819,0.780333700007759,12345,4000.0,0.5,8000.0,0.5,0.9
10,fr,same,77.1596370000043,0.779939700034447,12345,4000.0,0.5,8000.0,0.5,0.9
11,fr,same,84.19847920001484,0.9115839999867603,12345,4000.0,0.5,8000.0,0.5,0.9
12,fr,same,91.38270750001539,2.333040700003039,12345,4000.0,0.5,4000.0,0.5,0.9
13,fr,diff,95.98243340000045,0.8323617000132799,12345,4000.0,0.5,8000.0,0.5,0.9
14,fr,diff,99.07863670005463,0.6932176999980584,12345,4000.0,0.5,4000.0,0.5,0.9
15,fr,diff,106.03910420002649,1.2061940000276081,12345,4000.0,0.5,4000.0,0.5,0.9
16,fr,same,113.50798350002151,0.7101745000109076,12345,4000.0,0.5,8000.0,0.5,0.9
17,fr,diff,120.50037960003829,2.2168420999660157,12345,4000.0,0.5,8000.0,0.5,0.9
18,fr,same,124.99396050005453,6.795709599973634,12345,4000.0,0.5,4000.0,0.5,0.9
19,fr,diff,134.08732780005084,0.791234899952542,12345,4000.0,0.5,4000.0,0.5,0.9
20,fr,diff,141.15448610001476,0.597850100020878,12345,4000.0,0.5,8000.0,0.5,0.9
21,fr,diff,144.00725270004477,0.7091512999613769,12345,4000.0,0.5,4000.0,0.5,0.9
22,fr,diff,151.00272030005,0.5571995999780484,12345,4000.0,0.5,8000.0,0.5,0.9
23,fr,diff,153.8694397000363,0.6586735000018962,12345,4000.0,0.5,8000.0,0.5,0.9
24,fr,diff,156.79405700002098,0.6690018000081182,12345,4000.0,0.5,4000.0,0.5,0.9
25,fr,diff,163.72733510000398,0.5594976000138558,12345,4000.0,0.5,8000.0,0.5,0.9
26,fr,diff,166.54268200002844,0.661722099990584,12345,4000.0,0.5,8000.0,0.5,0.9
